[CX4]	Alkyl Carbon
[$(*-[NX2-]-[NX2+]#[NX1]),$(*-[NX2]=[NX2+]=[NX1-])]	azide group
[$([NX1-]=[NX2+]=[NX1-]),$([NX1]#[NX2+]-[NX1-2])]	azide ion 
[#7]	Nitrogen
[NX2]=N	Azo Nitrogen
[NX2]=[NX2]	Azo Nitrogen. diazene
[$([NX2]=[NX3+]([O-])[#6]),$([NX2]=[NX3+0](=[O])[#6])]	Azoxy Nitrogen
[$([#6]=[N+]=[N-]),$([#6-]-[N+]#[N])]	Diazo Nitrogen
[$([nr5]:[n&r5,o&r5,s&r5]),$([nr5]:[c&r5]:[n&r5,o&r5,s&r5])]	Azole
[NX3][NX3]	Hydrazine H2NNH2
[NX3][NX2]=[*]	Hydrazone C=NNH2
[$([CX3]([#6])[#6]),$([CX3H][#6])]=[NX2][#6]	substituted imine 
[$([CX3]([#6])[#6]),$([CX3H][#6])]=[$([NX2][#6]),$([NX2H])]	substituted or un-substituted imine
[NX3+]=[CX3]	Iminium
[CX3](=[OX1])[NX3H][CX3](=[OX1])	imide(unsubstituted dicarboximide, N analog of anhydride)   
[CX3](=[OX1])[NX3H0]([#6])[CX3](=[OX1])	imide (substituted dicarboximide)   
[CX3](=[OX1])[NX3H0]([NX3H0]([CX3](=[OX1]))[CX3](=[OX1]))[CX3](=[OX1])	imide (dicarboxdiimide) 
[$([NX3](=[OX1])(=[OX1])O),$([NX3+]([OX1-])(=[OX1])O)]	Nitrate group 
[$([OX1]=[NX3](=[OX1])[OX1-]),$([OX1]=[NX3+]([OX1-])[OX1-])]	Nitrate Anion
[NX1]#[CX2]	nitrile
[CX1-]#[NX2+]	Isonitrile
[$([NX3](=O)=O),$([NX3+](=O)[O-])][!#8]	Nitro group. 
[NX2]=[OX1]	Nitroso-group
[$([#7+][OX1-]),$([#7v5]=[OX1]);!$([#7](~[O])~[O]);!$([#7]=[#7])]	N-Oxide  
[OX2H]	Hydroxyl
[#6][OX2H]	Hydroxyl in Alcohol (-ol)   
[OX2H][CX3]=[OX1]	Hydroxyl in Carboxylic Acid
[OX2H]P	Hydroxyl in H-O-P-
[OX2H][#6X3]=[#6]	enol
[OX2H][cX3]:[c]	pheno (Ar-OH)
[OX2H][$(C=C),$(cc)]	Enol or Phenol
[$([OH]-*=[!#6])]	Hydroxyl_acidic
[O&X2,O&X1&-][O&X2,O&X1&-]	Peroxide groups 
[$(P(=[OX1])([$([OX2H]),$([OX1-]),$([OX2]P)])([$([OX2H]),$([OX1-]),$([OX2]P)])[$([OX2H]),$([OX1-]),$([OX2]P)]),$([P+]([OX1-])([$([OX2H]),$([OX1-]),$([OX2]P)])([$([OX2H]),$([OX1-]),$([OX2]P)])[$([OX2H]),$([OX1-]),$([OX2]P)])]	phosphoric_acid groups
[$(P(=[OX1])([OX2][#6])([$([OX2H]),$([OX1-]),$([OX2][#6])])[$([OX2H]),$([OX1-]),$([OX2][#6]),$([OX2]P)]),$([P+]([OX1-])([OX2][#6])([$([OX2H]),$([OX1-]),$([OX2][#6])])[$([OX2H]),$([OX1-]),$([OX2][#6]),$([OX2]P)])]	phosphoric_ester groups
[#6X3](=[SX1])([!N])[!N]	Thio 
[SX2]	Thiol, Sulfide or Disulfide Sulfur
[#16X2H]	Thiol  
[#16!H0]	Hydrogen attached to Sulfur
[#16X2H0]	Sulfide 
[#16X2H0][!#16]	mono-sulfide 
[#16X2H0][#16X2H0]	di-sulfide 
[$([#16X3](=[OX1])[OX2H0]),$([#16X3+]([OX1-])[OX2H0])]	Sulfinate   
[$([#16X3](=[OX1])[O&X2&H,O&X1&H0&-]),$([#16X3+]([OX1-])[O&X2&H,O&X1&H0&-])]	Sulfinic Acid
[$([#16X4](=[OX1])=[OX1]),$([#16X4+2]([OX1-])[OX1-])]	Sulfone  
[$([#16X4](=[OX1])(=[OX1])([#6])[#6]),$([#16X4+2]([OX1-])([OX1-])([#6])[#6])]	Sulfone 
[$([#16X4](=[OX1])(=[OX1])([#6])[O&X2&H,O&X1&H0&-]),$([#16X4+2]([OX1-])([OX1-])([#6])[O&X2&H,O&X1&H0&-])]	Sulfonic acid 
[$([#16X4](=[OX1])(=[OX1])([#6])[OX2H0]),$([#16X4+2]([OX1-])([OX1-])([#6])[OX2H0])]	Sulfonate (sulfonic ester)
[$([#16X3]=[OX1]),$([#16X3+][OX1-])]	Sulfoxide
[$([#16X3](=[OX1])([#6])[#6]),$([#16X3+]([OX1-])([#6])[#6])]	Sulfoxide
[$([SX4](=O)(=O)(O)O),$([SX4+2]([O-])([O-])(O)O)]	Sulfuric acid ester  
[$([#16X4](=[OX1])(=[OX1])([O&X2&H,O&X1&H0&-])[OX2][#6]),$([#16X4+2]([OX1-])([OX1-])([O&X2&H,O&X1&H0&-])[OX2][#6])]	Sulfate (Sulfuric Acid monoester)  
[$([#16X4](=[OX1])(=[OX1])([OX2][#6])[OX2][#6]),$([#16X4](=[OX1])(=[OX1])([OX2][#6])[OX2][#6])]	Sulfuric Acid Diester  
[$([#16X4]([NX3])(=[OX1])(=[OX1])[OX2][#6]),$([#16X4+2]([NX3])([OX1-])([OX1-])[OX2][#6])]	Sulfamate
[$([#16X4]([NX3])(=[OX1])(=[OX1])[O&X2&H,O&X1&H0&-]),$([#16X4+2]([NX3])([OX1-])([OX1-])[O&X2&H,O&X1&H0&-])]	Sulfamic Acid
[$([#16X4]([NX3])(=[OX1])(=[OX1])[#6]),$([#16X4+2]([NX3])([OX1-])([OX1-])[#6])]	Sulfonamide
[#16X2][O&X2&H,O&X1&H0&-]	sulfenic acid
[#16X2][OX2H0]	sulfenate
[$([#16X3]=[OX1]),$([#16X3+][OX1-])]	Sulfoxide
[$([#16X3](=[OX1])([#6])[#6]),$([#16X3+]([OX1-])([#6])[#6])]	Sulfoxide 
[NX3][CX3]=[SX1]	Thioamide   
[$([SX4](=[OX1])(=[OX1])([!O])[NX3]),$([SX4+2]([OX1-])([OX1-])([!O])[NX3])]	Sulfonamide 
[SX4](C)(C)(=O)=N	Partial N-Analog of Sulfone (Carbo-azosulfone)
[S-][CX3](=S)[#6]	Carbo-Thiocarboxylate
S([#6])[CX3](=O)[#6]	Carbo-Thioester
[#6][F,Cl,Br,I]	any carbon attached to any halogen
[F,Cl,Br,I]	Halogen
[F,Cl,Br,I].[F,Cl,Br,I].[F,Cl,Br,I].[F,Cl,Br,I]	four_halides groups 
[CX3](=[OX1])[F,Cl,Br,I]	Acyl Halide 
